DATE,TICKER,PRC,SHROUT,CFACPR,SPRTRN
1/2/18,MSFT,85.95,7705000,1,0.008303
1/3/18,MSFT,86.35,7705000,1,0.006399
1/4/18,MSFT,87.11,7705000,1,0.004029
1/5/18,MSFT,88.19,7705000,1,0.007034
1/8/18,MSFT,88.28,7705000,1,0.001662
1/9/18,MSFT,88.22,7705000,1,0.001303
1/10/18,MSFT,87.82,7705000,1,-0.001112
1/11/18,MSFT,88.08,7705000,1,0.007034
1/12/18,MSFT,89.6,7705000,1,0.00675
1/16/18,MSFT,88.35,7705000,1,-0.003524
1/17/18,MSFT,90.14,7705000,1,0.009415
1/18/18,MSFT,90.1,7705000,1,-0.001616
1/19/18,MSFT,90,7705000,1,0.004385
1/22/18,MSFT,91.61,7705000,1,0.008067
1/23/18,MSFT,91.9,7705000,1,0.002174
1/24/18,MSFT,91.82,7705000,1,-0.00056
1/25/18,MSFT,92.33,7705000,1,0.000603
1/26/18,MSFT,94.06,7699793,1,0.011841
1/29/18,MSFT,93.92,7699793,1,-0.006732
1/30/18,MSFT,92.74,7699793,1,-0.010899
1/31/18,MSFT,95.01,7699793,1,0.000489
2/1/18,MSFT,94.26,7699793,1,-0.000648
2/2/18,MSFT,91.78,7699793,1,-0.021209
2/5/18,MSFT,88,7699793,1,-0.040979
2/6/18,MSFT,91.33,7699793,1,0.017441
2/7/18,MSFT,89.61,7699793,1,-0.005002
2/8/18,MSFT,85.01,7699793,1,-0.037536
2/9/18,MSFT,88.18,7699793,1,0.014936
2/12/18,MSFT,89.13,7699793,1,0.013915
2/13/18,MSFT,89.83,7699793,1,0.002613
2/14/18,MSFT,90.81,7699793,1,0.013402
2/15/18,MSFT,92.66,7699793,1,0.012069
2/16/18,MSFT,92,7699793,1,0.000373
2/20/18,MSFT,92.72,7699793,1,-0.005841
2/21/18,MSFT,91.49,7699793,1,-0.005497
2/22/18,MSFT,91.73,7699793,1,0.000974
2/23/18,MSFT,94.06,7699793,1,0.016028
2/26/18,MSFT,95.42,7699793,1,0.011757
2/27/18,MSFT,94.2,7699793,1,-0.012707
2/28/18,MSFT,93.77,7699793,1,-0.011096
3/1/18,MSFT,92.85,7699793,1,-0.013324
3/2/18,MSFT,93.05,7699793,1,0.005072
3/5/18,MSFT,93.64,7699793,1,0.011032
3/6/18,MSFT,93.32,7699793,1,0.002639
3/7/18,MSFT,93.86,7699793,1,-0.000484
3/8/18,MSFT,94.43,7699793,1,0.004463
3/9/18,MSFT,96.54,7699793,1,0.017379
3/12/18,MSFT,96.77,7699793,1,-0.001274
3/13/18,MSFT,94.41,7699793,1,-0.006364
3/14/18,MSFT,93.85,7699793,1,-0.005724
3/15/18,MSFT,94.18,7699793,1,-0.000782
3/16/18,MSFT,94.6,7699793,1,0.001703
3/19/18,MSFT,92.89,7699793,1,-0.014204
3/20/18,MSFT,93.13,7699793,1,0.001482
3/21/18,MSFT,92.48,7699793,1,-0.001844
3/22/18,MSFT,89.79,7699793,1,-0.025163
3/23/18,MSFT,87.18,7699793,1,-0.020967
3/26/18,MSFT,93.78,7699793,1,0.027157
3/27/18,MSFT,89.47,7699793,1,-0.017276
3/28/18,MSFT,89.39,7699793,1,-0.002917
3/29/18,MSFT,91.27,7690000,1,0.01377
4/2/18,MSFT,88.52,7690000,1,-0.022337
4/3/18,MSFT,89.71,7690000,1,0.012615
4/4/18,MSFT,92.33,7690000,1,0.011566
4/5/18,MSFT,92.38,7690000,1,0.006863
4/6/18,MSFT,90.23,7690000,1,-0.02192
4/9/18,MSFT,90.77,7690000,1,0.003337
4/10/18,MSFT,92.88,7690000,1,0.016727
4/11/18,MSFT,91.86,7690000,1,-0.005525
4/12/18,MSFT,93.58,7690000,1,0.008251
4/13/18,MSFT,93.08,7690000,1,-0.002887
4/16/18,MSFT,94.17,7690000,1,0.008109
4/17/18,MSFT,96.07,7690000,1,0.010662
4/18/18,MSFT,96.44,7690000,1,0.000831
