DATE,TICKER,COMNAM,PRIMEXCH,PRC,VOL,SHROUT,CFACPR,CFACSHR,SPRTRN
20140102,MSFT,MICROSOFT CORP,Q,37.16,30423757,8300000,1,1,-0.008862
20140103,MSFT,MICROSOFT CORP,Q,36.91,30944370,8300000,1,1,-0.000333
20140106,MSFT,MICROSOFT CORP,Q,36.13,43111355,8300000,1,1,-0.002512
20140107,MSFT,MICROSOFT CORP,Q,36.41,35478667,8300000,1,1,0.006082
20140108,MSFT,MICROSOFT CORP,Q,35.76,59452427,8300000,1,1,-0.000212
20140109,MSFT,MICROSOFT CORP,Q,35.53,36215226,8300000,1,1,0.000348
20140110,MSFT,MICROSOFT CORP,Q,36.04,40212068,8300000,1,1,0.002307
20140113,MSFT,MICROSOFT CORP,Q,34.98,45381804,8300000,1,1,-0.012576
20140114,MSFT,MICROSOFT CORP,Q,35.78,41104196,8300000,1,1,0.010818
20140115,MSFT,MICROSOFT CORP,Q,36.76,44348336,8300000,1,1,0.005166
20140116,MSFT,MICROSOFT CORP,Q,36.89,37867819,8300000,1,1,-0.001347
20140117,MSFT,MICROSOFT CORP,Q,36.38,46009680,8300724,1,1,-0.003895
20140121,MSFT,MICROSOFT CORP,Q,36.17,31268119,8300724,1,1,0.002774
20140122,MSFT,MICROSOFT CORP,Q,35.93,21798051,8300724,1,1,0.000575
20140123,MSFT,MICROSOFT CORP,Q,36.055,44104654,8300724,1,1,-0.00889
20140124,MSFT,MICROSOFT CORP,Q,36.805,76424302,8300724,1,1,-0.020875
20140127,MSFT,MICROSOFT CORP,Q,36.03,44111631,8300724,1,1,-0.004876
20140128,MSFT,MICROSOFT CORP,Q,36.27,36226055,8300724,1,1,0.006141
20140129,MSFT,MICROSOFT CORP,Q,36.66,52790351,8300724,1,1,-0.010209
20140130,MSFT,MICROSOFT CORP,Q,36.86,35111959,8300724,1,1,0.011267
20140131,MSFT,MICROSOFT CORP,Q,37.84,93194815,8300724,1,1,-0.006465
20140203,MSFT,MICROSOFT CORP,Q,36.48,64104518,8300724,1,1,-0.022832
