PERMNO,date,TICKER,PRIMEXCH,HSICCD,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
10107,20130131,MSFT,Q,7370,27.45,11363418,0.027717,8376245,1,1
10107,20130228,MSFT,Q,7370,27.8,7736797,0.021129,8376245,1,1
10107,20130328,MSFT,Q,7370,28.605,8372531,0.028957,8349000,1,1
10107,20130430,MSFT,Q,7370,33.1,14536561,0.15714,8351107,1,1
10107,20130531,MSFT,Q,7370,34.9,10663668,0.061329,8351107,1,1
10107,20130628,MSFT,Q,7370,34.545,9394212,-0.010172,8328000,1,1
10107,20130731,MSFT,Q,7370,31.84,11036007,-0.078304,8329956,1,1
10107,20130830,MSFT,Q,7370,33.4,10443426,0.056219,8329956,1,1
10107,20130930,MSFT,Q,7370,33.28,12366043,-0.003593,8346000,1,1
10107,20131031,MSFT,Q,7370,35.405,9633022,0.063852,8347968,1,1
10107,20131129,MSFT,Q,7370,38.13,7965331,0.084875,8347968,1,1
10107,20131231,MSFT,Q,7370,37.41,8202590,-0.018883,8300000,1,1
10107,20140131,MSFT,Q,7370,37.84,9255796,0.011494,8300724,1,1
10107,20140228,MSFT,Q,7370,38.31,7182660,0.01982,8300724,1,1
10107,20140331,MSFT,Q,7370,40.99,7790153,0.069956,8260000,1,1
10107,20140430,MSFT,Q,7370,40.4,7461680,-0.014394,8260412,1,1
10107,20140530,MSFT,Q,7370,40.94,5747041,0.020297,8260412,1,1
10107,20140630,MSFT,Q,7370,41.7,5566350,0.018564,8239000,1,1
10107,20140731,MSFT,Q,7370,43.16,7327822,0.035012,8239849,1,1
10107,20140829,MSFT,Q,7370,45.43,5139717,0.059082,8239849,1,1
10107,20140930,MSFT,Q,7370,46.36,8609490,0.020471,8255024,1,1
10107,20141031,MSFT,Q,7370,46.95,8533427,0.012726,8242853,1,1
10107,20141128,MSFT,Q,7370,47.81,5230103,0.02492,8242853,1,1
10107,20141231,MSFT,Q,7370,46.45,6287260,-0.028446,8218000,1,1
10107,20150130,MSFT,Q,7370,40.4,9190983,-0.130248,8203785,1,1
10107,20150227,MSFT,Q,7370,43.85,6564632,0.093069,8203785,1,1
10107,20150331,MSFT,Q,7370,40.655,8243346,-0.072862,8113000,1,1
10107,20150430,MSFT,Q,7370,48.64,8745897,0.196409,8089575,1,1
10107,20150529,MSFT,Q,7370,46.86,6331563,-0.030222,8089575,1,1
10107,20150630,MSFT,Q,7370,44.15,6649349,-0.057832,8027000,1,1
10107,20150731,MSFT,Q,7370,46.7,7256877,0.057758,7997981,1,1
10107,20150831,MSFT,Q,7370,43.52,7769602,-0.061456,7997981,1,1
10107,20150930,MSFT,Q,7370,44.26,6740501,0.017004,7986000,1,1
10107,20151030,MSFT,Q,7370,52.64,8580914,0.189336,7987913,1,1
10107,20151130,MSFT,Q,7370,54.35,6634965,0.039324,7987913,1,1
10107,20151231,MSFT,Q,7370,55.48,7934234,0.020791,7925000,1,1
10107,20160129,MSFT,Q,7370,55.09,9279988,-0.00703,7909303,1,1
10107,20160229,MSFT,Q,7370,50.88,8147721,-0.069886,7909303,1,1
10107,20160331,MSFT,Q,7370,55.23,6412683,0.085495,7870000,1,1
10107,20160429,MSFT,Q,7370,49.87,6998592,-0.097049,7860467,1,1
10107,20160531,MSFT,Q,7370,53,5310870,0.069982,7860467,1,1
10107,20160630,MSFT,Q,7370,51.17,8246050,-0.034528,7808000,1,1
10107,20160729,MSFT,Q,7370,56.68,6476461,0.10768,7792515,1,1
10107,20160831,MSFT,Q,7370,57.46,4676906,0.020113,7792515,1,1
10107,20160930,MSFT,Q,7370,57.6,5275975,0.002436,7779737,1,1
10107,20161031,MSFT,Q,7370,59.92,6148560,0.040278,7775351,1,1
10107,20161130,MSFT,Q,7370,60.26,6132204,0.012183,7775351,1,1
